Motif_ID,Match_Count,Rank
96_motif_1,33,2
93_motif_1,33,2
56_motif_2,18,2
98_motif_1,33,2
52_motif_2,18,2
55_motif_2,51,2
76_motif_2,33,2
54_motif_2,18,2
74_motif_2,38,2
69_motif_2,39,2
99_motif_1,33,2
86_motif_1,33,2
77_motif_2,33,2
79_motif_2,39,2
71_motif_2,39,2
73_motif_2,33,2
57_motif_2,18,2
83_motif_2,34,2
100_motif_1,33,2
68_motif_2,34,2
88_motif_1,33,2
59_motif_2,18,2
66_motif_2,34,2
91_motif_1,33,2
45_motif_2,7,2
46_motif_3,7,2
75_motif_2,33,2
84_motif_2,33,2
70_motif_2,39,2
97_motif_1,33,2
63_motif_2,34,2
64_motif_2,34,2
49_motif_2,17,2
89_motif_1,33,2
61_motif_2,22,2
85_motif_1,33,2
60_motif_2,18,2
43_motif_3,7,2
47_motif_3,7,2
51_motif_2,18,2
65_motif_2,34,2
40_motif_3,7,2
87_motif_1,33,2
48_motif_2,7,2
94_motif_1,33,2
92_motif_1,33,2
78_motif_2,39,2
72_motif_2,38,2
81_motif_2,33,2
41_motif_3,7,2
90_motif_1,33,2
82_motif_2,34,2
44_motif_2,7,2
101_motif_1,33,2
80_motif_2,39,2
95_motif_1,33,2
67_motif_2,37,2
58_motif_2,18,2
62_motif_2,22,2
53_motif_2,18,2
96_motif_2,20,5
93_motif_2,20,5
76_motif_1,20,5
74_motif_1,20,5
86_motif_2,20,5
71_motif_1,20,5
73_motif_1,20,5
83_motif_1,20,5
88_motif_2,20,5
91_motif_2,20,5
75_motif_1,20,5
84_motif_1,20,5
97_motif_2,20,5
85_motif_2,20,5
87_motif_2,20,5
92_motif_2,20,5
72_motif_1,20,5
81_motif_1,20,5
90_motif_2,20,5
82_motif_1,20,5
95_motif_2,20,5
96_motif_3,28,4
93_motif_3,29,4
74_motif_3,30,4
69_motif_3,25,4
99_motif_3,29,4
86_motif_3,30,4
71_motif_3,30,4
73_motif_3,30,4
83_motif_3,29,4
100_motif_3,30,4
68_motif_3,30,4
88_motif_3,23,4
66_motif_3,23,4
91_motif_3,23,4
84_motif_3,28,4
70_motif_3,24,4
63_motif_3,13,4
64_motif_3,23,4
85_motif_3,30,4
65_motif_3,23,4
