Number,Layer,Average_Probability,Number_Layer
1,motif_1,0.31047817460317473,1_motif_1
1,motif_2,0.28553621031746024,1_motif_2
1,motif_3,0.2929946145124715,1_motif_3
2,motif_1,0.31047817460317473,2_motif_1
2,motif_2,0.28553621031746024,2_motif_2
2,motif_3,0.2929946145124716,2_motif_3
3,motif_1,0.29293650793650783,3_motif_1
3,motif_2,0.2902492559523808,3_motif_2
3,motif_3,0.2940907738095237,3_motif_3
4,motif_1,0.34320039682539694,4_motif_1
4,motif_2,0.28865209573412687,4_motif_2
4,motif_3,0.2973986568986568,4_motif_3
5,motif_1,0.34320039682539694,5_motif_1
5,motif_2,0.28779270833333326,5_motif_2
5,motif_3,0.34674380711880726,5_motif_3
6,motif_1,0.34320039682539694,6_motif_1
6,motif_2,0.28721978339947074,6_motif_2
6,motif_3,0.3438673611111112,6_motif_3
7,motif_1,0.34320039682539694,7_motif_1
7,motif_2,0.287986961451247,7_motif_2
7,motif_3,0.3404068754313321,7_motif_3
8,motif_1,0.34320039682539694,8_motif_1
8,motif_2,0.2888034474206348,8_motif_2
8,motif_3,0.29267021520146524,8_motif_3
9,motif_1,0.34320039682539694,9_motif_1
9,motif_2,0.2891719576719576,9_motif_2
9,motif_3,0.2908754058441559,9_motif_3
10,motif_1,0.28683928571428563,10_motif_1
10,motif_2,0.28957018849206334,10_motif_2
10,motif_3,0.2838238536155202,10_motif_3
11,motif_1,0.34425768849206356,11_motif_1
11,motif_2,0.29029230523627064,11_motif_2
11,motif_3,0.2772728883219954,11_motif_3
12,motif_1,0.2876026992394179,12_motif_1
12,motif_2,0.29029230523627064,12_motif_2
12,motif_3,0.3078309442824749,12_motif_3
13,motif_1,0.28911309523809514,13_motif_1
13,motif_2,0.2883643925518925,13_motif_2
13,motif_3,0.3010033195970696,13_motif_3
14,motif_1,0.287274535856009,14_motif_1
14,motif_2,0.28846330328247793,14_motif_2
14,motif_3,0.30013340125840127,14_motif_3
15,motif_1,0.30310986247947447,15_motif_1
15,motif_2,0.28846330328247793,15_motif_2
15,motif_3,0.2858360420979986,15_motif_3
16,motif_1,0.28780117679255607,16_motif_1
16,motif_2,0.2883643925518925,16_motif_2
16,motif_3,0.6404956507936506,16_motif_3
17,motif_1,0.29427363847837984,17_motif_1
17,motif_2,0.2903283621140763,17_motif_2
17,motif_3,0.6646193977591035,17_motif_3
18,motif_1,0.2942736384783799,18_motif_1
18,motif_2,0.29998145272601795,18_motif_2
18,motif_3,0.2647819113756613,18_motif_3
19,motif_1,0.2942736384783799,19_motif_1
19,motif_2,0.2896513577653282,19_motif_2
19,motif_3,0.27619025428153715,19_motif_3
20,motif_1,0.28519680487137383,20_motif_1
20,motif_2,0.2903283621140763,20_motif_2
20,motif_3,0.2765123511904762,20_motif_3
21,motif_1,0.2884088498905308,21_motif_1
21,motif_2,0.2903283621140763,21_motif_2
21,motif_3,0.26763852277021916,21_motif_3
22,motif_1,0.2853406369731801,22_motif_1
22,motif_2,0.28353501810080745,22_motif_2
22,motif_3,0.6534691445707069,22_motif_3
23,motif_1,0.29153393541324574,23_motif_1
23,motif_2,0.28157371463077974,23_motif_2
23,motif_3,0.29077512508626635,23_motif_3
24,motif_1,0.29153393541324574,24_motif_1
24,motif_2,0.2815826614596455,24_motif_2
24,motif_3,0.29167093460648147,24_motif_3
25,motif_1,0.29153393541324574,25_motif_1
25,motif_2,0.2860370436507936,25_motif_2
25,motif_3,0.2959671924603174,25_motif_3
26,motif_1,0.28563888888888894,26_motif_1
26,motif_2,0.2833477182539682,26_motif_2
26,motif_3,0.2920444234584859,26_motif_3
27,motif_1,0.27230690586419753,27_motif_1
27,motif_2,0.28559870291400136,27_motif_2
27,motif_3,0.2915911963550852,27_motif_3
28,motif_1,0.2727972898426934,28_motif_1
28,motif_2,0.2895395640843402,28_motif_2
28,motif_3,0.29016226243860777,28_motif_3
29,motif_1,0.2734066519567597,29_motif_1
29,motif_2,0.2895395640843402,29_motif_2
29,motif_3,0.2894139213875205,29_motif_3
30,motif_1,0.27973389550264544,30_motif_1
30,motif_2,0.2895395640843402,30_motif_2
30,motif_3,0.291028158068783,30_motif_3
31,motif_1,0.2795999263952892,31_motif_1
31,motif_2,0.2895395640843402,31_motif_2
31,motif_3,0.29028676659597713,31_motif_3
32,motif_1,0.27979507688492056,32_motif_1
32,motif_2,0.28559870291400136,32_motif_2
32,motif_3,0.2904964580233135,32_motif_3
33,motif_1,0.2799652627465127,33_motif_1
33,motif_2,0.2885951350237064,33_motif_2
33,motif_3,0.28989611892736894,33_motif_3
34,motif_1,0.26882070640756295,34_motif_1
34,motif_2,0.2902316636717579,34_motif_2
34,motif_3,0.6274312120139256,34_motif_3
35,motif_1,0.2878967970521542,35_motif_1
35,motif_2,0.28797169582118554,35_motif_2
35,motif_3,0.29161207482993196,35_motif_3
36,motif_1,0.28799430341242177,36_motif_1
36,motif_2,0.2879833701521845,36_motif_2
36,motif_3,0.29229634008074773,36_motif_3
37,motif_1,0.2748600252037752,37_motif_1
37,motif_2,0.27622596927284426,37_motif_2
37,motif_3,0.3409192063492065,37_motif_3
38,motif_1,0.27545859440267334,38_motif_1
38,motif_2,0.29172454253019037,38_motif_2
38,motif_3,0.2850532916157916,38_motif_3
