Number,Layer,Average_Probability,Number_Layer
1,motif_1,0.34725347222222225,1_motif_1
1,motif_2,0.2924320436507936,1_motif_2
1,motif_3,0.3346619543650794,1_motif_3
2,motif_1,0.3450642857142857,2_motif_1
2,motif_2,0.433404336734694,2_motif_2
2,motif_3,0.4677425925925925,2_motif_3
3,motif_1,0.34325703463203466,3_motif_1
3,motif_2,0.433646645021645,3_motif_2
3,motif_3,0.28141468253968255,3_motif_3
4,motif_1,0.40693644593253964,4_motif_1
4,motif_2,0.3439508547008548,4_motif_2
4,motif_3,0.34858630952380953,4_motif_3
5,motif_1,0.388309829059829,5_motif_1
5,motif_2,0.5496888528138527,5_motif_2
5,motif_3,0.4897328042328042,5_motif_3
6,motif_1,0.38998222728807846,6_motif_1
6,motif_2,0.5661686507936506,6_motif_2
6,motif_3,0.25905438311688306,6_motif_3
7,motif_1,0.3881067310572026,7_motif_1
7,motif_2,0.5298113354037266,7_motif_2
7,motif_3,0.38347805788982253,7_motif_3
8,motif_1,0.40858069816468257,8_motif_1
8,motif_2,0.5778618055555554,8_motif_2
8,motif_3,0.40399533146591976,8_motif_3
9,motif_1,0.42361278783813994,9_motif_1
9,motif_2,0.5831140873015871,9_motif_2
9,motif_3,0.5569614197530863,9_motif_3
10,motif_1,0.5127426835317459,10_motif_1
10,motif_2,0.26642912698412696,10_motif_2
10,motif_3,0.5696618357487921,10_motif_3
11,motif_1,0.4080038067552602,11_motif_1
11,motif_2,0.539420376121463,11_motif_2
11,motif_3,0.37779742063492067,11_motif_3
12,motif_1,0.38210100373482725,12_motif_1
12,motif_2,0.5141734511008704,12_motif_2
12,motif_3,0.520143817204301,12_motif_3
13,motif_1,0.41742128968253966,13_motif_1
13,motif_2,0.5283650153609831,13_motif_2
13,motif_3,0.36761024305555556,13_motif_3
14,motif_1,0.3961201866549089,14_motif_1
14,motif_2,0.6674310263653482,14_motif_2
14,motif_3,0.4208549319727892,14_motif_3
15,motif_1,0.45939708994709,15_motif_1
15,motif_2,0.6483690476190477,15_motif_2
15,motif_3,0.27384583333333334,15_motif_3
16,motif_1,0.4752858816217249,16_motif_1
16,motif_2,0.3732475313768918,16_motif_2
16,motif_3,0.6540880847953215,16_motif_3
17,motif_1,0.5307333968253967,17_motif_1
17,motif_2,0.3962420162509449,17_motif_2
17,motif_3,0.2711049286864505,17_motif_3
18,motif_1,0.4703326207243461,18_motif_1
18,motif_2,0.6424183836996338,18_motif_2
18,motif_3,0.35054972915091964,18_motif_3
19,motif_1,0.4717840699065014,19_motif_1
19,motif_2,0.6360558989621489,19_motif_2
19,motif_3,0.3679953102453103,19_motif_3
20,motif_1,0.47486221478174606,20_motif_1
20,motif_2,0.6355705205811136,20_motif_2
20,motif_3,0.3698207671957673,20_motif_3
21,motif_1,0.469828514739229,21_motif_1
21,motif_2,0.6668167688792687,21_motif_2
21,motif_3,0.30102750496031744,21_motif_3
22,motif_1,0.46708367153679653,22_motif_1
22,motif_2,0.6811316556158329,22_motif_2
22,motif_3,0.3596707102672293,22_motif_3
23,motif_1,0.4624008153352415,23_motif_1
23,motif_2,0.6660695990517418,23_motif_2
23,motif_3,0.34204828785446767,23_motif_3
24,motif_1,0.46032245163690483,24_motif_1
24,motif_2,0.6357984770484769,24_motif_2
24,motif_3,0.2982820372797438,24_motif_3
25,motif_1,0.4254305445326279,25_motif_1
25,motif_2,0.46895590244928004,25_motif_2
25,motif_3,0.5690558608058607,25_motif_3
26,motif_1,0.4576988749098124,26_motif_1
26,motif_2,0.6374496547941668,26_motif_2
26,motif_3,0.38958152958152953,26_motif_3
27,motif_1,0.45173888521457967,27_motif_1
27,motif_2,0.635680917874396,27_motif_2
27,motif_3,0.30358630248789825,27_motif_3
28,motif_1,0.455504786817567,28_motif_1
28,motif_2,0.5983927877677877,28_motif_2
28,motif_3,0.47462412206770604,28_motif_3
29,motif_1,0.4392961480569239,29_motif_1
29,motif_2,0.6658839994331064,29_motif_2
29,motif_3,0.44709715695488716,29_motif_3
30,motif_1,0.43548467261904766,30_motif_1
30,motif_2,0.6662502334267036,30_motif_2
30,motif_3,0.44817349547180835,30_motif_3
31,motif_1,0.43207378221194015,31_motif_1
31,motif_2,0.6389080035770175,31_motif_2
31,motif_3,0.49819302104899915,31_motif_3
32,motif_1,0.43266446552579363,32_motif_1
32,motif_2,0.6021339781746029,32_motif_2
32,motif_3,0.5042347033257747,32_motif_3
33,motif_1,0.42979576366169886,33_motif_1
33,motif_2,0.5914258295445479,33_motif_2
33,motif_3,0.5029430857487922,33_motif_3
34,motif_1,0.43215689921802053,34_motif_1
34,motif_2,0.6501000197180319,34_motif_2
34,motif_3,0.5009630222371967,34_motif_3
35,motif_1,0.43285935374149664,35_motif_1
35,motif_2,0.6076072082679224,35_motif_2
35,motif_3,0.4903550170068026,35_motif_3
36,motif_1,0.45739674185463663,36_motif_1
36,motif_2,0.5697417919005371,36_motif_2
36,motif_3,0.49309455782312916,36_motif_3
37,motif_1,0.45804481043543543,37_motif_1
37,motif_2,0.5707130799755799,37_motif_2
37,motif_3,0.4922205583402951,37_motif_3
38,motif_1,0.45941817931793183,38_motif_1
38,motif_2,0.5630989795918366,38_motif_2
38,motif_3,0.5117782592813974,38_motif_3
39,motif_1,0.4595920864594499,39_motif_1
39,motif_2,0.5697375108225108,39_motif_2
39,motif_3,0.4923682875975247,39_motif_3
40,motif_1,0.461656607457798,40_motif_1
40,motif_2,0.560863492063492,40_motif_2
40,motif_3,0.5163199187643632,40_motif_3
41,motif_1,0.4607907592915216,41_motif_1
41,motif_2,0.41013714526214523,41_motif_2
41,motif_3,0.6723407158317871,41_motif_3
42,motif_1,0.4475361585840881,42_motif_1
42,motif_2,0.6143320853982616,42_motif_2
42,motif_3,0.2876499230644639,42_motif_3
43,motif_1,0.4381359359045763,43_motif_1
43,motif_2,0.5725524920135768,43_motif_2
43,motif_3,0.3433030830280831,43_motif_3
44,motif_1,0.43801866213151935,44_motif_1
44,motif_2,0.5716462234016413,44_motif_2
44,motif_3,0.477851176978728,44_motif_3
45,motif_1,0.44001937149047177,45_motif_1
45,motif_2,0.6171413462177058,45_motif_2
45,motif_3,0.4552896964633807,45_motif_3
46,motif_1,0.43841058960013873,46_motif_1
46,motif_2,0.570836231431348,46_motif_2
46,motif_3,0.341027323844667,46_motif_3
47,motif_1,0.4341468095238095,47_motif_1
47,motif_2,0.5730430060913253,47_motif_2
47,motif_3,0.3405147920578028,47_motif_3
48,motif_1,0.4422445656678686,48_motif_1
48,motif_2,0.5768095182980599,48_motif_2
48,motif_3,0.4762433686847404,48_motif_3
49,motif_1,0.4422937421345351,49_motif_1
49,motif_2,0.6596528014924429,49_motif_2
