Motif_ID,Match_Count,Rank
96_motif_1,26,3
93_motif_2,13,3
56_motif_3,20,3
98_motif_1,8,3
55_motif_3,13,3
76_motif_2,26,3
74_motif_3,4,3
69_motif_3,26,3
99_motif_2,10,3
86_motif_2,6,3
77_motif_3,14,3
79_motif_2,25,3
73_motif_3,25,3
83_motif_2,25,3
100_motif_2,9,3
68_motif_3,25,3
88_motif_2,6,3
91_motif_2,27,3
75_motif_3,14,3
84_motif_2,23,3
70_motif_3,25,3
27_motif_3,1,3
97_motif_1,27,3
89_motif_2,5,3
61_motif_2,26,3
85_motif_2,19,3
28_motif_3,1,3
65_motif_1,26,3
87_motif_2,28,3
94_motif_1,3,3
92_motif_2,6,3
78_motif_2,26,3
72_motif_3,10,3
81_motif_2,8,3
90_motif_2,14,3
82_motif_2,28,3
101_motif_2,12,3
80_motif_2,16,3
95_motif_1,26,3
67_motif_3,26,3
62_motif_2,27,3
32_motif_3,8,3
96_motif_2,60,1
26_motif_2,32,1
93_motif_1,60,1
56_motif_1,56,1
52_motif_1,52,1
55_motif_1,54,1
76_motif_1,60,1
25_motif_2,1,1
38_motif_1,4,1
54_motif_1,54,1
74_motif_1,60,1
99_motif_1,52,1
86_motif_1,58,1
50_motif_1,59,1
77_motif_1,60,1
37_motif_1,57,1
79_motif_1,60,1
73_motif_1,58,1
33_motif_1,49,1
57_motif_1,56,1
83_motif_1,60,1
100_motif_1,52,1
68_motif_1,52,1
88_motif_1,30,1
59_motif_1,49,1
91_motif_1,30,1
45_motif_1,59,1
39_motif_1,56,1
46_motif_1,55,1
75_motif_1,60,1
30_motif_1,48,1
84_motif_1,59,1
27_motif_2,59,1
64_motif_1,40,1
49_motif_1,59,1
89_motif_1,60,1
61_motif_1,39,1
85_motif_1,60,1
60_motif_1,56,1
43_motif_1,59,1
31_motif_1,59,1
29_motif_1,59,1
47_motif_1,59,1
51_motif_1,52,1
28_motif_1,24,1
40_motif_1,56,1
87_motif_1,58,1
48_motif_1,55,1
94_motif_2,30,1
35_motif_1,53,1
92_motif_1,60,1
78_motif_1,60,1
81_motif_1,60,1
41_motif_1,57,1
90_motif_1,60,1
82_motif_1,60,1
44_motif_1,59,1
101_motif_1,52,1
80_motif_1,60,1
95_motif_2,60,1
42_motif_1,59,1
58_motif_1,56,1
32_motif_1,59,1
53_motif_1,50,1
36_motif_1,59,1
96_motif_3,10,4
20_motif_1,15,4
26_motif_1,11,4
93_motif_3,11,4
98_motif_3,12,4
6_motif_1,10,4
5_motif_1,15,4
12_motif_1,16,4
25_motif_1,14,4
15_motif_1,16,4
18_motif_1,15,4
99_motif_3,11,4
37_motif_3,1,4
71_motif_3,12,4
57_motif_2,9,4
17_motif_1,15,4
100_motif_3,11,4
88_motif_3,10,4
59_motif_2,9,4
66_motif_2,13,4
91_motif_3,11,4
46_motif_3,1,4
27_motif_1,13,4
19_motif_1,15,4
63_motif_2,13,4
64_motif_2,13,4
13_motif_1,15,4
22_motif_1,6,4
85_motif_3,10,4
60_motif_2,9,4
10_motif_1,21,4
43_motif_2,4,4
2_motif_2,17,4
21_motif_1,17,4
11_motif_1,21,4
23_motif_1,15,4
29_motif_3,12,4
47_motif_2,5,4
4_motif_1,10,4
8_motif_1,13,4
28_motif_2,6,4
3_motif_1,10,4
87_motif_3,11,4
94_motif_3,12,4
7_motif_1,13,4
14_motif_1,15,4
90_motif_3,11,4
44_motif_3,2,4
24_motif_1,15,4
101_motif_3,10,4
95_motif_3,10,4
9_motif_1,22,4
42_motif_2,4,4
58_motif_2,9,4
16_motif_1,15,4
53_motif_3,1,4
20_motif_2,4,10
25_motif_3,2,10
18_motif_2,4,10
19_motif_2,4,10
23_motif_2,4,10
24_motif_2,5,10
20_motif_3,4,9
6_motif_3,6,9
5_motif_3,2,9
12_motif_3,1,9
18_motif_3,2,9
19_motif_3,4,9
10_motif_3,2,9
11_motif_2,2,9
3_motif_3,2,9
