Number,Layer,Ml_Average_Probability,Motif_ID,Another_Number,Ratio,Match_Count,Rank,Frequent_score,Total,Accession
1,motif_3,0.3346619543650794,1_motif_3,1,0.375,0,37,0.0033003300330033004,0.7129622843980827,NC_000902
2,motif_3,0.4677425925925925,2_motif_3,2,0.3333333333333333,0,35,0.0033003300330033004,0.8043762559589291,NC_000902
3,motif_3,0.2814146825396825,3_motif_3,3,0.16666666666666666,0,34,0.0033003300330033004,0.4513816792393524,NC_000902
4,motif_3,0.3485863095238095,4_motif_3,4,0.625,0,31,0.0033003300330033004,0.9768866395568129,NC_000902
5,motif_2,0.5496888528138527,5_motif_2,5,0.12121212121212122,1,17,0.006600660066006601,0.6775016340919805,NC_000902
6,motif_1,0.3899822272880784,6_motif_1,6,0.2765957446808511,3,12,0.0165016501650165,0.683079622133946,NC_000902
7,motif_3,0.3834780578898225,7_motif_3,7,0.35294117647058826,1,14,0.006600660066006601,0.7430198944264174,NC_000902
8,motif_3,0.4039953314659197,8_motif_3,8,0.35294117647058826,1,14,0.006600660066006601,0.7635371680025146,NC_000902
9,motif_1,0.4236127878381399,9_motif_1,9,0.22535211267605634,3,12,0.0165016501650165,0.6654665506792127,NC_000902
10,motif_1,0.5127426835317459,10_motif_1,10,0.203125,0,47,0.0033003300330033004,0.7191680135647492,NC_000902
11,motif_1,0.4080038067552602,11_motif_1,11,0.2441860465116279,0,45,0.0033003300330033004,0.6554901832998915,NC_000902
12,motif_1,0.3821010037348272,12_motif_1,12,0.23529411764705882,3,4,0.11551155115511551,0.7329066725370015,NC_000902
13,motif_1,0.4174212896825396,13_motif_1,13,0.2,3,4,0.11551155115511551,0.7329328408376551,NC_000902
14,motif_2,0.6674310263653482,14_motif_2,14,0.15254237288135594,0,41,0.0033003300330033004,0.8232737292797075,NC_000902
15,motif_2,0.6483690476190477,15_motif_2,15,0.0,8,1,0.264026402640264,0.9123954502593117,NC_000902
16,motif_3,0.6540880847953215,16_motif_3,16,0.10526315789473684,49,1,0.264026402640264,1.0233776453303225,NC_000902
17,motif_1,0.5307333968253967,17_motif_1,17,0.136,3,6,0.056105610561056105,0.7228390073864528,NC_000902
18,motif_2,0.6424183836996338,18_motif_2,18,0.038461538461538464,66,1,0.264026402640264,0.9449063248014362,NC_000902
19,motif_2,0.6360558989621489,19_motif_2,19,0.0,63,1,0.264026402640264,0.9000823016024129,NC_000902
20,motif_2,0.6355705205811136,20_motif_2,20,0.0,68,1,0.264026402640264,0.8995969232213776,NC_000902
21,motif_2,0.6668167688792687,21_motif_2,21,0.0,21,1,0.264026402640264,0.9308431715195327,NC_000902
22,motif_2,0.6811316556158329,22_motif_2,22,0.0,12,1,0.264026402640264,0.9451580582560969,NC_000902
23,motif_2,0.6660695990517418,23_motif_2,23,0.0,21,1,0.264026402640264,0.9300960016920058,NC_000902
24,motif_2,0.6357984770484769,24_motif_2,24,0.04504504504504504,52,1,0.264026402640264,0.944869924733786,NC_000902
25,motif_3,0.5690558608058607,25_motif_3,25,0.04395604395604396,7,1,0.264026402640264,0.8770383074021686,NC_000902
26,motif_2,0.6374496547941668,26_motif_2,26,0.04878048780487805,52,1,0.264026402640264,0.9502565452393089,NC_000902
27,motif_2,0.635680917874396,27_motif_2,27,0.043478260869565216,52,1,0.264026402640264,0.9431855813842251,NC_000902
28,motif_2,0.5983927877677877,28_motif_2,28,0.04895104895104895,52,1,0.264026402640264,0.9113702393591007,NC_000902
29,motif_2,0.6658839994331064,29_motif_2,29,0.0,21,1,0.264026402640264,0.9299104020733704,NC_000902
30,motif_2,0.6662502334267036,30_motif_2,30,0.0,21,1,0.264026402640264,0.9302766360669676,NC_000902
31,motif_2,0.6389080035770175,31_motif_2,31,0.035211267605633804,53,1,0.264026402640264,0.9381456738229152,NC_000902
32,motif_2,0.6021339781746029,32_motif_2,32,0.0125,46,1,0.264026402640264,0.8786603808148669,NC_000902
33,motif_2,0.5914258295445479,33_motif_2,33,0.035175879396984924,62,1,0.264026402640264,0.8906281115817969,NC_000902
34,motif_2,0.6501000197180319,34_motif_2,34,0.012422360248447204,49,1,0.264026402640264,0.9265487826067431,NC_000902
35,motif_2,0.6076072082679224,35_motif_2,35,0.01098901098901099,46,1,0.264026402640264,0.8826226218971973,NC_000902
36,motif_2,0.5697417919005371,36_motif_2,36,0.03802281368821293,37,1,0.264026402640264,0.871791008229014,NC_000902
37,motif_2,0.5707130799755799,37_motif_2,37,0.038461538461538464,33,1,0.264026402640264,0.8732010210773823,NC_000902
38,motif_2,0.5630989795918366,38_motif_2,38,0.039285714285714285,35,1,0.264026402640264,0.8664110965178149,NC_000902
39,motif_2,0.5697375108225108,39_motif_2,39,0.03636363636363636,32,1,0.264026402640264,0.8701275498264112,NC_000902
40,motif_2,0.560863492063492,40_motif_2,40,0.04067796610169491,28,1,0.264026402640264,0.8655678608054509,NC_000902
41,motif_3,0.6723407158317871,41_motif_3,41,0.032467532467532464,35,1,0.264026402640264,0.9688346509395835,NC_000902
42,motif_2,0.6143320853982616,42_motif_2,42,0.00904977375565611,47,1,0.264026402640264,0.8874082617941816,NC_000902
43,motif_2,0.5725524920135768,43_motif_2,43,0.03773584905660377,54,1,0.264026402640264,0.8743147437104446,NC_000902
44,motif_2,0.5716462234016413,44_motif_2,44,0.03715170278637771,54,1,0.264026402640264,0.872824328828283,NC_000902
45,motif_2,0.6171413462177058,45_motif_2,45,0.008368200836820083,48,1,0.264026402640264,0.8895359496947899,NC_000902
46,motif_2,0.570836231431348,46_motif_2,46,0.04081632653061224,58,1,0.264026402640264,0.8756789606022243,NC_000902
47,motif_2,0.5730430060913253,47_motif_2,47,0.03081232492997199,57,1,0.264026402640264,0.8678817336615613,NC_000902
48,motif_2,0.5768095182980599,48_motif_2,48,0.027777777777777776,56,1,0.264026402640264,0.8686136987161017,NC_000902
49,motif_2,0.6596528014924429,49_motif_2,49,0.00796812749003984,48,1,0.264026402640264,0.9316473316227467,NC_000902
50,motif_2,0.5788998093176664,50_motif_2,50,0.03116883116883117,58,1,0.264026402640264,0.8740950431267616,NC_000902
51,motif_2,0.6602834746272245,51_motif_2,51,0.007575757575757576,48,1,0.264026402640264,0.931885634843246,NC_000902
52,motif_2,0.6596360270254322,52_motif_2,52,0.007434944237918215,47,1,0.264026402640264,0.9310973739036145,NC_000902
