Number,Layer,Ml_Average_Probability,Motif_ID,Another_Number,Ratio,Match_Count,Rank,Frequent_score,Total,Accession
1,motif_3,0.2929946145124715,1_motif_3,1,0.0,41,1,0.1782178217821782,0.4712124362946497,NC_001978
2,motif_3,0.2929946145124716,2_motif_3,2,0.0,41,1,0.1782178217821782,0.4712124362946498,NC_001978
3,motif_3,0.2940907738095237,3_motif_3,3,0.05,41,1,0.1782178217821782,0.522308595591702,NC_001978
4,motif_1,0.34320039682539694,4_motif_1,4,0.03125,43,1,0.1782178217821782,0.5526682186075751,NC_001978
5,motif_3,0.34674380711880726,5_motif_3,5,0.030303030303030304,44,1,0.1782178217821782,0.5552646592040158,NC_001978
6,motif_3,0.3438673611111112,6_motif_3,6,0.025,46,1,0.1782178217821782,0.5470851828932894,NC_001978
7,motif_3,0.3404068754313321,7_motif_3,7,0.06521739130434782,50,1,0.1782178217821782,0.5838420885178581,NC_001978
8,motif_1,0.34320039682539694,8_motif_1,8,0.015625,43,1,0.1782178217821782,0.5370432186075751,NC_001978
9,motif_3,0.2908754058441559,9_motif_3,9,0.06818181818181818,35,1,0.1782178217821782,0.5372750458081523,NC_001978
10,motif_3,0.2838238536155202,10_motif_3,10,0.05555555555555555,3,1,0.1782178217821782,0.5175972309532539,NC_001978
11,motif_1,0.34425768849206356,11_motif_1,11,0.011363636363636364,44,1,0.1782178217821782,0.5338391466378781,NC_001978
12,motif_1,0.2876026992394179,12_motif_1,12,0.010416666666666666,46,1,0.1782178217821782,0.4762371876882628,NC_001978
13,motif_3,0.3010033195970696,13_motif_3,13,0.2692307692307692,2,12,0.009900990099009901,0.5801350789268487,NC_001978
14,motif_3,0.30013340125840127,14_motif_3,14,0.2702702702702703,2,12,0.009900990099009901,0.5803046616276815,NC_001978
15,motif_3,0.2858360420979986,15_motif_3,15,0.24347826086956523,2,12,0.009900990099009901,0.5392152930665738,NC_001978
16,motif_3,0.6404956507936506,16_motif_3,16,0.768,0,26,0.0033003300330033004,1.4117959808266538,NC_001978
17,motif_3,0.6646193977591035,17_motif_3,17,0.3897058823529412,0,25,0.0033003300330033004,1.0576256101450479,NC_001978
18,motif_3,0.2647819113756613,18_motif_3,18,0.2777777777777778,1,15,0.006600660066006601,0.5491603492194457,NC_001978
19,motif_3,0.27619025428153715,19_motif_3,19,0.23684210526315788,1,14,0.006600660066006601,0.5196330196107016,NC_001978
20,motif_3,0.2765123511904762,20_motif_3,20,0.225,1,14,0.006600660066006601,0.5081130112564828,NC_001978
21,motif_3,0.26763852277021916,21_motif_3,21,0.26785714285714285,1,15,0.006600660066006601,0.5420963256933685,NC_001978
22,motif_3,0.6534691445707069,22_motif_3,22,0.23295454545454544,0,24,0.0033003300330033004,0.8897240200582557,NC_001978
23,motif_2,0.28157371463077974,23_motif_2,23,0.15217391304347827,5,6,0.0924092409240924,0.5261568685983504,NC_001978
24,motif_2,0.2815826614596455,24_motif_2,24,0.15343915343915343,5,6,0.0924092409240924,0.5274310558228913,NC_001978
25,motif_2,0.2860370436507936,25_motif_2,25,0.18,5,6,0.0924092409240924,0.558446284574886,NC_001978
26,motif_2,0.2833477182539682,26_motif_2,26,0.15196078431372548,5,6,0.0924092409240924,0.5277177434917861,NC_001978
27,motif_1,0.27230690586419753,27_motif_1,27,0.1712962962962963,33,3,0.15841584158415842,0.6020190437446523,NC_001978
28,motif_1,0.2727972898426934,28_motif_1,28,0.17488789237668162,33,3,0.15841584158415842,0.6061010238035335,NC_001978
